Title,Text,,,
CÁC NGÀNH ĐÀO TẠO CỦA ĐẠI HỌC BÁCH KHOA,"các ngành đạo Đại học bao gồm:
7420201: Công nghệ sinh học (A00: Toán, Lý, Hóa; D07: Toán, Hóa, Anh; B00: Toán, Hóa, Sinh)
7420201A: Công nghệ sinh học, chuyên ngành Công nghệ sinh học Y Dược (A00: Toán, Lý, Hóa; D07: Toán, Hóa, Anh; B00: Toán, Hóa, Sinh)
7480106: Kỹ thuật máy tính (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7480118VM: Chương trình tiên tiến Việt-Mỹ ngành Hệ thống Nhúng và IoT (A01: Toán, Lý, Anh; D07: Toán, Hóa, Anh)
7480201: Công nghệ thông tin (Đặc thù - Hợp tác doanh nghiệp) (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7480201A: Công nghệ thông tin (ngoại ngữ Nhật) (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh; D28: Toán, Lý, Nhật)
7480201B: Công nghệ thông tin (Đặc thù - Hợp tác doanh nghiệp), chuyên ngành Khoa học dữ liệu và Trí tuệ nhân tạo (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7510105: Công nghệ kỹ thuật vật liệu xây dựng (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7510202: Công nghệ chế tạo máy (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7510601: Quản lý công nghiệp (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7510701: Công nghệ dầu khí và khai thác dầu (A00: Toán, Lý, Hóa; D07: Toán, Hóa, Anh)
7520103A: Kỹ thuật Cơ khí, chuyên ngành Cơ khí động lực (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7520103B: Kỹ thuật Cơ khí, chuyên ngành Cơ khí hàng không (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7520114: Kỹ thuật Cơ điện tử (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7520115: Kỹ thuật nhiệt (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7520118: Kỹ thuật hệ thống công nghiệp (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7520122: Kỹ thuật Tàu thủy (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7520130: Kỹ thuật ô tô (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7520201: Kỹ thuật Điện (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7520207: Kỹ thuật điện tử - viễn thông (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7520207A: Kỹ thuật điện tử - viễn thông, chuyên ngành vi điện tử - thiết kế vi mạch (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7520207VM: Chương trình tiên tiến Việt - Mỹ ngành Kỹ thuật Điện tử viễn thông (A01: Toán, Lý, Anh; D07: Toán, Hóa, Anh)
7520216: Kỹ thuật Điều khiển và Tự động hóa (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh; D07: Toán, Hóa, Anh)
7520301: Kỹ thuật hóa học (A00: Toán, Lý, Hóa; D07: Toán, Hóa, Anh; B00: Toán, Hóa, Sinh)
7520320: Kỹ thuật môi trường (A00: Toán, Lý, Hóa; D07: Toán, Hóa, Anh; B00: Toán, Hóa, Sinh)
7540101: Công nghệ thực phẩm (A00: Toán, Lý, Hóa; D07: Toán, Hóa, Anh; B00: Toán, Hóa, Sinh; V00: Toán, Lý, Vẽ; V01: Toán, Văn, Vẽ; V02: Toán, Anh, Vẽ)
7580101: Kiến trúc (V00: Toán, Lý, Vẽ; V01: Toán, Văn, Vẽ; V02: Toán, Anh, Vẽ)
7580201: Kỹ thuật xây dựng, chuyên ngành Xây dựng dân dụng và công nghiệp (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7580201A: Kỹ thuật xây dựng, chuyên ngành Tin học xây dựng (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7580201B: Kỹ thuật xây dựng, chuyên ngành Kỹ thuật và quản lý xây dựng đô thị thông minh (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7580201C: Kỹ thuật xây dựng, chuyên ngành Mô hình thông tin và trí tuệ nhân tạo trong xây dựng (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7580202: Kỹ thuật xây dựng công trình thủy (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7580205: Kỹ thuật xây dựng công trình giao thông (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7580210: Kỹ thuật cơ sở hạ tầng (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7580301: Kinh tế xây dựng (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)
7850101: Quản lý tài nguyên và môi trường (A00: Toán, Lý, Hóa; D07: Toán, Hóa, Anh; B00: Toán, Hóa, Sinh)
PFIEV: Chương trình đào tạo kỹ sư chất lượng cao Việt - Pháp (PFIEV) (A00: Toán, Lý, Hóa; A01: Toán, Lý, Anh)",,,
các tổ hợp xét tuyển gồm những môn nào,"A00: Toán, Lý, Hóa
A01: Toán, Lý, Anh
B00: Toán, Hóa, Sinh
D07: Toán, Hóa, Anh
D28: Toán, Lý, Nhật
V00: Toán, Lý, Vẽ
V01: Toán, Văn, Vẽ
V02: Toán, Anh, Vẽ",,,
các ngành đào tạo,"Công nghệ sinh học
Công nghệ sinh học Y Dược
Kỹ thuật máy tính
Hệ thống Nhúng và IoT (Việt-Mỹ)
Công nghệ thông tin (Hợp tác doanh nghiệp)
Công nghệ thông tin (Ngoại ngữ Nhật)
Khoa học dữ liệu và Trí tuệ nhân tạo
Công nghệ kỹ thuật vật liệu xây dựng
Công nghệ chế tạo máy
Quản lý công nghiệp
Công nghệ dầu khí và khai thác dầu
Cơ khí động lực
Cơ khí hàng không
Kỹ thuật Cơ điện tử
Kỹ thuật nhiệt
Kỹ thuật hệ thống công nghiệp
Kỹ thuật Tàu thủy
Kỹ thuật ô tô
Kỹ thuật Điện
Kỹ thuật điện tử - viễn thông
Vi điện tử - thiết kế vi mạch
Kỹ thuật điện tử viễn thông (Việt - Mỹ)
Kỹ thuật Điều khiển và Tự động hóa
Kỹ thuật hóa học
Kỹ thuật môi trường
Công nghệ thực phẩm
Kiến trúc
Xây dựng dân dụng và công nghiệp
Tin học xây dựng
Quản lý xây dựng đô thị thông minh
Mô hình thông tin & trí tuệ nhân tạo trong xây dựng
Kỹ thuật xây dựng công trình thủy
Kỹ thuật xây dựng công trình giao thông
Kỹ thuật cơ sở hạ tầng
Kinh tế xây dựng
Quản lý tài nguyên và môi trường
Kỹ sư chất lượng cao Việt - Pháp (PFIEV)",,,
Mã ngành Công nghệ sinh học,7420201,,,
Mã ngành Công nghệ sinh học Y Dược,7420201A  ,,,
Mã ngành Kỹ thuật máy tính,7480106,,,
Mã ngành Hệ thống Nhúng và IoT (Việt-Mỹ),7480118VM  ,,,
Mã ngành Công nghệ thông tin (Hợp tác doanh nghiệp),7480201,,,
Mã ngành Công nghệ thông tin (Ngoại ngữ Nhật),7480201A  ,,,
Mã ngành Khoa học dữ liệu và Trí tuệ nhân tạo,7480201B  ,,,
